Date,Fund,MoM Return
1/1/15,ESG USD Corporate Bond UCITS ETF,
1/1/15,FTSE U.K. Equity Income Index Fund,3.51
1/1/15,FTSE North America UCITS ETF,-3.24
1/1/15,Japan Government Bond Index Fund,0.04
1/1/15,U.K. Short-Term Investment Grade Bond Index Fund,0.89
1/1/15,SustainableLife 60-70% Equity Fund,
1/1/15,Target Retirement 2045 Fund,
1/1/15,Global Equity Fund,
1/1/15,LifeStrategy 20% Equity Fund,2.78
1/1/15,ESG Global All Cap UCITS ETF,
1/1/15,Global Aggregate Bond UCITS ETF,
1/1/15,Pacific ex-Japan Stock Index Fund,3.81
1/1/15,ESG Developed Asia Pacific All Cap UCITS ETF,
1/1/15,Target Retirement 2030 Fund,
1/1/15,Emerging Markets Stock Index Fund,4.41
1/1/15,Japan Stock Index Fund,6.23
1/1/15,Emerging Markets Bond Fund,
1/1/15,ESG Global Corporate Bond UCITS ETF,
1/1/15,U.K. Investment Grade Bond Index Fund,4.8
1/1/15,FTSE All-World High Dividend Yield UCITS ETF,-1.74
1/1/15,ESG North America All Cap UCITS ETF,
1/1/15,LifeStrategy 60% Equity Fund,2.62
1/1/15,FTSE Emerging Markets UCITS ETF,0.76
1/1/15,U.K. Long Duration Gilt Index Fund,9.07
1/1/15,Euro Government Bond Index Fund,2.09
1/1/15,USD Corporate Bond UCITS ETF,
1/1/15,Target Retirement 2065 Fund,
1/1/15,SustainableLife 40-50% Equity Fund,
1/1/15,U.K. Government Bond Index Fund,4.97
1/1/15,Global Emerging Markets Fund,
1/1/15,Global Credit Bond Fund,
1/1/15,U.K. Inflation-Linked Gilt Index Fund,4.39
1/1/15,U.S. Investment Grade Credit Index Fund,2.63
1/1/15,SRI European Stock Fund,3.71
1/1/15,USD Treasury Bond UCITS ETF,
1/1/15,Target Retirement 2060 Fund,
1/1/15,ESG Global Corporate Bond Index Fund,
1/1/15,USD Corporate 1-3 Year Bond UCITS ETF,
1/1/15,FTSE Developed World ex-U.K. Equity Index Fund,1.99
1/1/15,FTSE 100 Index Unit Trust,
1/1/15,Global Equity Income Fund,
1/1/15,U.K. Gilt UCITS ETF,4.97
1/1/15,Global Sustainable Equity Fund,
1/1/15,U.S. Government Bond Index Fund,2.73
1/1/15,FTSE Developed Asia Pacific ex Japan UCITS ETF,0.6
1/1/15,Global Bond Index Fund,2.04
1/1/15,ESG Emerging Markets All Cap Equity Index Fund,
1/1/15,Active U.K. Equity Fund,
1/1/15,FTSE U.K. All Share Index Unit Trust,2.62
1/1/15,ESG Developed World All Cap Equity Index Fund,1.96
1/1/15,U.S. Equity Index Fund,0.9
1/1/15,Global Short-Term Corporate Bond Index Fund,
1/1/15,FTSE Global All Cap Index Fund,
1/1/15,LifeStrategy 40% Equity Fund,2.69
1/1/15,EUR Corporate Bond UCITS ETF,
1/1/15,S&P 500 UCITS ETF,-3.02
1/1/15,FTSE Japan UCITS ETF,2.54
1/1/15,SustainableLife 80-90% Equity Fund,
1/1/15,ESG Developed World All Cap Equity Index Fund (UK),
1/1/15,Sterling Short-Term Money Market Fund,
1/1/15,Target Retirement 2055 Fund,
1/1/15,EUR Eurozone Government Bond UCITS ETF,
1/1/15,Target Retirement 2025 Fund,
1/1/15,Global Small-Cap Index Fund,1.92
1/1/15,USD Emerging Markets Government Bond UCITS ETF,
1/1/15,Target Retirement 2035 Fund,
1/1/15,FTSE Developed Europe UCITS ETF,7.19
1/1/15,Germany All Cap UCITS ETF,
1/1/15,Target Retirement 2050 Fund,
1/1/15,Target Retirement 2040 Fund,
1/1/15,FTSE Developed Europe ex UK UCITS ETF,7.68
1/1/15,ESG EUR Corporate Bond UCITS ETF,
1/1/15,FTSE 100 UCITS ETF,2.89
1/1/15,Target Retirement 2015 Fund,
1/1/15,Global Short-Term Bond Index Fund,0.66
1/1/15,Euro Investment Grade Bond Index Fund,0.92
1/1/15,ESG Developed Europe All Cap UCITS ETF,
1/1/15,LifeStrategy 80% Equity Fund,2.49
1/1/15,Global Corporate Bond Index Fund,
1/1/15,FTSE Developed Europe ex-U.K. Equity Index Fund,4.26
1/1/15,ESG Emerging Markets All Cap UCITS ETF,
1/1/15,FTSE 250 UCITS ETF,1.45
1/1/15,FTSE All-World UCITS ETF,-1.49
1/1/15,LifeStrategy 100% Equity Fund,2.29
1/1/15,FTSE Developed World UCITS ETF,-1.7
1/1/15,Target Retirement 2020 Fund,
2/1/15,LifeStrategy 100% Equity Fund,2.78
2/1/15,S&P 500 UCITS ETF,5.7
2/1/15,EUR Eurozone Government Bond UCITS ETF,
2/1/15,Euro Investment Grade Bond Index Fund,0.56
2/1/15,Pacific ex-Japan Stock Index Fund,1.55
2/1/15,Germany All Cap UCITS ETF,
2/1/15,ESG North America All Cap UCITS ETF,
2/1/15,Global Aggregate Bond UCITS ETF,
2/1/15,SustainableLife 40-50% Equity Fund,
2/1/15,FTSE All-World High Dividend Yield UCITS ETF,5.05
2/1/15,FTSE Developed World ex-U.K. Equity Index Fund,2.73
2/1/15,Global Credit Bond Fund,
2/1/15,Global Corporate Bond Index Fund,
2/1/15,FTSE Global All Cap Index Fund,
2/1/15,SRI European Stock Fund,3.45
2/1/15,LifeStrategy 20% Equity Fund,-0.83
2/1/15,FTSE Developed Europe ex UK UCITS ETF,6.88
2/1/15,ESG USD Corporate Bond UCITS ETF,
2/1/15,Global Bond Index Fund,-0.55
2/1/15,Active U.K. Equity Fund,
2/1/15,EUR Corporate Bond UCITS ETF,
2/1/15,Target Retirement 2020 Fund,
2/1/15,FTSE Developed Asia Pacific ex Japan UCITS ETF,3.36
2/1/15,FTSE Developed Europe UCITS ETF,6.97
2/1/15,Target Retirement 2040 Fund,
2/1/15,FTSE Developed Europe ex-U.K. Equity Index Fund,3.24
2/1/15,ESG Developed Europe All Cap UCITS ETF,
2/1/15,ESG EUR Corporate Bond UCITS ETF,
2/1/15,LifeStrategy 80% Equity Fund,1.9
2/1/15,Target Retirement 2015 Fund,
2/1/15,Global Short-Term Bond Index Fund,-0.05
2/1/15,FTSE 250 UCITS ETF,6
2/1/15,ESG Emerging Markets All Cap UCITS ETF,
2/1/15,FTSE All-World UCITS ETF,5.5
2/1/15,FTSE 100 UCITS ETF,3.31
2/1/15,Target Retirement 2050 Fund,
2/1/15,U.S. Government Bond Index Fund,-1.55
2/1/15,Global Sustainable Equity Fund,
2/1/15,ESG Emerging Markets All Cap Equity Index Fund,
2/1/15,Target Retirement 2035 Fund,
2/1/15,FTSE U.K. All Share Index Unit Trust,3.72
2/1/15,ESG Developed World All Cap Equity Index Fund,2.78
2/1/15,Global Short-Term Corporate Bond Index Fund,
2/1/15,U.S. Equity Index Fund,2.79
2/1/15,LifeStrategy 40% Equity Fund,0.07
2/1/15,FTSE Japan UCITS ETF,6.1
2/1/15,ESG Developed World All Cap Equity Index Fund (UK),
2/1/15,Target Retirement 2055 Fund,
2/1/15,Sterling Short-Term Money Market Fund,
2/1/15,Global Small-Cap Index Fund,3.16
2/1/15,SustainableLife 80-90% Equity Fund,
2/1/15,Target Retirement 2025 Fund,
2/1/15,Euro Government Bond Index Fund,0.67
2/1/15,Emerging Markets Bond Fund,
2/1/15,U.K. Inflation-Linked Gilt Index Fund,-5
2/1/15,Global Equity Income Fund,
2/1/15,ESG Global Corporate Bond UCITS ETF,
2/1/15,Target Retirement 2065 Fund,
2/1/15,FTSE Emerging Markets UCITS ETF,3.13
2/1/15,U.K. Investment Grade Bond Index Fund,-2.78
